threshold,n,prevalence,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1,brier,ece_10_bins,tn,fp,fn,tp,analysis_level,balanced_accuracy,selection
0.44,448,0.8214285714285714,0.9189538043478261,0.9820769144644952,0.8816964285714286,0.9461756373937678,0.907608695652174,0.7625,0.926490984743412,0.13060204347227294,0.18933558599850847,61,19,34,334,record,0.835054347826087,best_f1_exploratory
0.43,200,0.74,0.9460758835758837,0.9823804481801587,0.875,0.896774193548387,0.9391891891891891,0.6923076923076923,0.9174917491749175,0.11330432436207735,0.13662301156669857,36,16,9,139,patient,0.8157484407484408,best_f1_exploratory
0.55,448,0.8214285714285714,0.9189538043478261,0.9820769144644952,0.8125,0.9733333333333334,0.7934782608695652,0.9,0.874251497005988,0.13060204347227294,0.18933558599850847,72,8,76,292,record,0.8467391304347827,best_balanced_accuracy_exploratory
0.6,200,0.74,0.9460758835758837,0.9823804481801587,0.85,0.9836065573770492,0.8108108108108109,0.9615384615384616,0.8888888888888888,0.11330432436207735,0.13662301156669857,50,2,28,120,patient,0.8861746361746362,best_balanced_accuracy_exploratory
